problem_type,n_bits,layers,vseed,eta_eff,n_1qb,n_2qb,shots,HQC,cost_usd
PO,6,5,42,0.3496838274308945,52,75,100,22.24,331.94029850746267
PO,6,5,142,0.34968481437397103,52,75,100,22.24,331.94029850746267
PO,6,5,242,0.349683336721754,52,75,100,22.24,331.94029850746267
PO,6,5,342,0.3496881855285291,52,75,100,22.24,331.94029850746267
PO,6,5,442,0.34968894321274213,52,75,100,22.24,331.94029850746267
PO,6,5,542,0.3496856573332306,52,75,100,22.24,331.94029850746267
PO,6,5,642,0.34967818193607136,52,75,100,22.24,331.94029850746267
PO,6,5,742,0.34968018920998317,52,75,100,22.24,331.94029850746267
PO,6,5,842,0.34968961140023685,52,75,100,22.24,331.94029850746267
PO,6,5,942,0.34968414136940257,52,75,100,22.24,331.94029850746267
PO,6,10,42,0.3841435462740982,84,150,100,37.88,565.3731343283582
PO,6,10,142,0.38337729079021615,84,150,100,37.88,565.3731343283582
PO,6,10,242,0.38311655303978215,84,150,100,37.88,565.3731343283582
PO,6,10,342,0.38326590591388215,84,150,100,37.88,565.3731343283582
PO,6,10,442,0.3830391019853046,84,150,100,37.88,565.3731343283582
PO,6,10,542,0.3846760123147469,84,150,100,37.88,565.3731343283582
PO,6,10,642,0.383068905279529,84,150,100,37.88,565.3731343283582
PO,6,10,742,0.38327930730295984,84,150,100,37.88,565.3731343283582
PO,6,10,842,0.38449568615322594,84,150,100,37.88,565.3731343283582
PO,6,10,942,0.38441900767859694,84,150,100,37.88,565.3731343283582
PO,6,20,42,0.41408619127205515,146,300,100,69.12,1031.6417910447763
PO,6,20,142,0.4165043257201181,146,300,100,69.12,1031.6417910447763
PO,6,20,242,0.4182123024911218,148,300,100,69.16,1032.2388059701493
PO,6,20,342,0.34709310552607764,146,300,100,69.12,1031.6417910447763
PO,6,20,442,0.35199363917080806,150,300,100,69.2,1032.8358208955224
PO,6,20,542,0.34521283257890945,146,300,100,69.12,1031.6417910447763
PO,6,20,642,0.3855301090707578,150,300,100,69.2,1032.8358208955224
PO,6,20,742,0.3596441290255824,146,300,100,69.12,1031.6417910447763
PO,6,20,842,0.4180563742191203,148,300,100,69.16,1032.2388059701493
PO,6,20,942,0.35999956236160063,146,300,100,69.12,1031.6417910447763
PO,9,5,42,0.2585584338928379,70,180,100,44.2,659.7014925373135
PO,9,5,142,0.258558733496394,70,180,100,44.2,659.7014925373135
PO,9,5,242,0.2585590120784307,70,180,100,44.2,659.7014925373135
PO,9,5,342,0.25855910890179185,70,180,100,44.2,659.7014925373135
PO,9,5,442,0.25855899095099416,70,180,100,44.2,659.7014925373135
PO,9,5,542,0.258559321472602,70,180,100,44.2,659.7014925373135
PO,9,5,642,0.2585585809248814,70,180,100,44.2,659.7014925373135
PO,9,5,742,0.25855863505356674,70,180,100,44.2,659.7014925373135
PO,9,5,842,0.25855948710681376,70,180,100,44.2,659.7014925373135
PO,9,5,942,0.2585594629812477,70,180,100,44.2,659.7014925373135
PO,9,10,42,0.3682479639291042,141,360,100,81.62,1218.2089552238806
PO,9,10,142,0.36824998477524584,141,360,100,81.62,1218.2089552238806
PO,9,10,242,0.3682529819535929,141,360,100,81.62,1218.2089552238806
PO,9,10,342,0.36825379054361324,141,360,100,81.62,1218.2089552238806
PO,9,10,442,0.36825281202975374,141,360,100,81.62,1218.2089552238806
PO,9,10,542,0.36825578391894626,141,360,100,81.62,1218.2089552238806
PO,9,10,642,0.3682492466240904,141,360,100,81.62,1218.2089552238806
PO,9,10,742,0.3682492776006351,141,360,100,81.62,1218.2089552238806
PO,9,10,842,0.3682570874573939,141,360,100,81.62,1218.2089552238806
PO,9,10,942,0.36825665698755633,141,360,100,81.62,1218.2089552238806
PO,9,20,42,0.44855320564163303,246,720,100,155.72,2324.179104477612
PO,9,20,142,0.4483945856256839,246,720,100,155.72,2324.179104477612
PO,9,20,242,0.44853276597686126,246,720,100,155.72,2324.179104477612
PO,9,20,342,0.44865250872701107,246,720,100,155.72,2324.179104477612
PO,9,20,442,0.44854475228901936,246,720,100,155.72,2324.179104477612
PO,9,20,542,0.44618885058641256,246,720,100,155.72,2324.179104477612
PO,9,20,642,0.44874332590187727,246,720,100,155.72,2324.179104477612
PO,9,20,742,0.44834240379446566,246,720,100,155.72,2324.179104477612
PO,9,20,842,0.44904611158850466,246,720,100,155.72,2324.179104477612
PO,9,20,942,0.4491727808858443,246,720,100,155.72,2324.179104477612
PO,12,5,42,0.2654539207714391,104,330,100,75.48,1126.5671641791046
PO,12,5,142,0.2654539113475648,104,330,100,75.48,1126.5671641791046
PO,12,5,242,0.2654538787752606,104,330,100,75.48,1126.5671641791046
PO,12,5,342,0.26545389532951924,104,330,100,75.48,1126.5671641791046
PO,12,5,442,0.265453885746874,104,330,100,75.48,1126.5671641791046
PO,12,5,542,0.2654538878156542,104,330,100,75.48,1126.5671641791046
PO,12,5,642,0.2654539239656685,104,330,100,75.48,1126.5671641791046
PO,12,5,742,0.2654539089116673,104,330,100,75.48,1126.5671641791046
PO,12,5,842,0.26545387979567253,104,330,100,75.48,1126.5671641791046
PO,12,5,942,0.26545385595556614,104,330,100,75.48,1126.5671641791046
PO,12,10,42,0.28729216622731246,164,660,100,142.68,2129.5522388059703
PO,12,10,142,0.28729219555183577,164,660,100,142.68,2129.5522388059703
PO,12,10,242,0.2872921729500124,164,660,100,142.68,2129.5522388059703
PO,12,10,342,0.2872920918871538,164,660,100,142.68,2129.5522388059703
PO,12,10,442,0.2872921279109401,164,660,100,142.68,2129.5522388059703
PO,12,10,542,0.2872921336384837,164,660,100,142.68,2129.5522388059703
PO,12,10,642,0.2872922154926975,164,660,100,142.68,2129.5522388059703
PO,12,10,742,0.2872921708394344,164,660,100,142.68,2129.5522388059703
PO,12,10,842,0.2872921080648672,164,660,100,142.68,2129.5522388059703
PO,12,10,942,0.28729211735250515,164,660,100,142.68,2129.5522388059703
PO,12,20,42,0.3722481430171497,334,1320,100,278.08,4150.44776119403
PO,12,20,142,0.3655605427845477,334,1320,100,278.08,4150.44776119403
PO,12,20,242,0.35303902902899054,334,1298,100,273.68,4084.7761194029854
PO,12,20,342,0.37673412308848414,334,1320,100,278.08,4150.44776119403
PO,12,20,442,0.3652483602731003,334,1320,100,278.08,4150.44776119403
PO,12,20,542,0.35820310015748963,334,1320,100,278.08,4150.44776119403
PO,12,20,642,0.3833512524138688,334,1320,100,278.08,4150.44776119403
PO,12,20,742,0.3510754448742862,334,1320,100,278.08,4150.44776119403
PO,12,20,842,0.3580819546470708,334,1320,100,278.08,4150.44776119403
PO,12,20,942,0.36800176010954055,334,1320,100,278.08,4150.44776119403
NPP,9,5,52,0.9999884655009379,72,90,100,26.24,391.6417910447761
NPP,9,5,53,0.9999931982142755,72,90,100,26.24,391.6417910447761
NPP,9,5,54,0.9999905755681605,72,90,100,26.24,391.6417910447761
NPP,9,5,55,0.9999853939099893,72,90,100,26.24,391.6417910447761
NPP,9,5,56,0.9999930624277317,72,90,100,26.24,391.6417910447761
NPP,9,5,57,0.9999763807329302,72,84,100,25.04,373.7313432835821
NPP,9,5,58,0.9999923872711572,72,90,100,26.24,391.6417910447761
NPP,9,5,59,0.9999916449428623,72,90,100,26.24,391.6417910447761
NPP,9,5,60,0.9999929248286711,72,90,100,26.24,391.6417910447761
NPP,9,5,61,0.9999933591853803,72,90,100,26.24,391.6417910447761
NPP,9,10,52,0.9994028064644885,115,180,100,45.1,673.134328358209
NPP,9,10,53,0.999906951262276,115,180,100,45.1,673.134328358209
NPP,9,10,54,0.9994416994917775,115,180,100,45.1,673.134328358209
NPP,9,10,55,0.9998299733556755,115,180,100,45.1,673.134328358209
NPP,9,10,56,0.9999056588509341,115,180,100,45.1,673.134328358209
NPP,9,10,57,0.9997513912715796,115,171,100,43.3,646.2686567164179
NPP,9,10,58,0.9998909752515399,115,180,100,45.1,673.134328358209
NPP,9,10,59,0.9998773312992445,115,180,100,45.1,673.134328358209
NPP,9,10,60,0.9999038877733408,115,180,100,45.1,673.134328358209
NPP,9,10,61,0.9999103887002422,115,180,100,45.1,673.134328358209
NPP,9,20,52,0.9992800405274007,198,360,100,82.76,1235.223880597015
NPP,9,20,53,0.9979516242944083,198,360,100,82.76,1235.223880597015
NPP,9,20,54,0.9994051868187321,198,360,100,82.76,1235.223880597015
NPP,9,20,55,0.9989812068027855,198,360,100,82.76,1235.223880597015
NPP,9,20,56,0.9995848169100054,198,360,100,82.76,1235.223880597015
NPP,9,20,57,0.9984778370599621,198,354,100,81.56,1217.313432835821
NPP,9,20,58,0.9978436722737677,198,360,100,82.76,1235.223880597015
NPP,9,20,59,0.9977372054027072,198,360,100,82.76,1235.223880597015
NPP,9,20,60,0.9995711718599158,198,360,100,82.76,1235.223880597015
NPP,9,20,61,0.999615518341538,198,360,100,82.76,1235.223880597015
NPP,12,5,52,0.9999940614762229,97,132,100,35.739999999999995,533.4328358208954
NPP,12,5,53,0.9999943062501042,97,150,100,39.34,587.1641791044776
